a  啊
feng-mei  凤眉
feng-mei-xiu-mu  凤眉秀目
feng-mei-yi  凤眉一
feng-men  奉门
feng-mi  蜂蜜
feng-ming 奉命  凤鸣
feng-ming-hang-shi  奉命行事
feng-ming-xing-shi  奉命行事
feng-mo 风魔  疯魔
feng-mou 冯某  风某
feng-mu  凤目
feng-neng  峰能
feng-niang  疯娘
feng-niao  蜂鸟
feng-nv-ren  疯女人
feng-pei  奉陪
feng-pi  封皮
feng-ping-lang-jing  风平浪静
feng-po-zi  疯婆子
feng-qi 风起  蜂起
feng-qi-yun-yong  风起云涌
feng-qiang-shu  风墙术
feng-qie  风切
feng-qing 风情  风轻
feng-qing-wan-zhong  风情万种
feng-qiu  风球
feng-qu  风趣
feng-quan  奉劝
feng-qun  蜂群
feng-ren 锋刃  风刃
feng-ren-ji  风刃激
feng-ren-shu  风刃术
feng-ru  丰乳
feng-rui  锋锐
feng-ruo 峰弱  奉若
feng-ruo-shen-ming  奉若神明
feng-se  风色
feng-sha  风沙
feng-shan 封山 凤山  风闪
feng-shang 封赏  奉上
feng-shen 封深  风神
feng-shen-jun  丰神俊
feng-shen-mu  凤神目
feng-sheng 冯升 丰盛  风声
feng-sheng-he-li  风声鹤唳
feng-sheng-ku  冯升苦
feng-sheng-shui  风生水
feng-shi 风势  冯氏
feng-shu  风术
feng-shuang  风霜
feng-shui  风水
feng-shui-bao-di  风水宝地
feng-shun  风顺
feng-shuo  丰硕
feng-si  封死
feng-song  奉送
feng-su  风俗
feng-suo  封锁
feng-suo-xiao-xi  封锁消息
feng-tong-yu  奉通羽
feng-tou  风头
feng-tu  风土
feng-tu-ren-qing  风土人情
feng-wei 封为  风味
feng-wen  风闻
feng-wo  蜂窝
feng-wu  凤舞
feng-xi 风系  缝隙
feng-xian 奉献  风险
feng-xian-gei  奉献给
feng-xian-ji  奉献给
feng-xiang  风相
feng-xin  封信
feng-xin-zi  风信子
feng-xing 风行 风姓 奉行  冯姓
feng-xiong 风兄  冯兄
feng-xiong-hua-ji  逢凶化吉
feng-xuan-dian-che  风旋电掣
feng-xue  风雪
feng-ya  风雅
feng-yan  风眼
feng-yan-feng-yu  风言风语
feng-yan-si-qi  烽烟四起
feng-yao 疯要  峰要
feng-ye  枫叶
feng-yi 丰怡 风以  凤已
feng-yin 凤吟  封印
feng-yin-sheng  凤吟声
feng-ying 丰盈  封蝇
feng-yong 蜂蛹  蜂拥
feng-yong-er-lai  蜂拥而来
feng-yong-er-shang  蜂拥而上
feng-yong-er-zhi  蜂拥而至
feng-yu 丰腴  风雨
feng-yu-bu-tou  风雨不透
feng-yu-lei-dian  风雨雷电
feng-yu-piao-yao  风雨飘摇
feng-yu-tong-zhou  风雨同舟
feng-yu-wu-zu  风雨无阻
feng-yuan 冯远  枫苑
feng-yuan-yong  冯远用
feng-yue-luo  风岳罗
feng-yun 丰韵 风韵  风云
feng-yun-bang  风云榜
feng-yun-bian-se  风云变色
feng-yun-ji-hui  风云际会
feng-yun-ji-kuai  风云际会
feng-yun-tu-bian  风云突变
feng-yun-you-cun  风韵犹存
feng-za-xia  峰扎下
feng-zha-xia  峰扎下
feng-zhang  疯涨
feng-zhen  蜂针
feng-zhen-san  风震散
feng-zhen-xue  凤真血
feng-zheng  风筝
feng-zhi 风止  缝制
feng-zhi-li  风之力
feng-zhi-shu  风之术
feng-zhi-zhu  峰之主
feng-zhong  风中
feng-zhong-can-zhu  风中残烛
feng-zhu 奉主 风柱 峰住 峰主 风助  封住
feng-zhu-can-nian  风烛残年
feng-zhu-hou  峰主后
feng-zhu-shi  峰主是
feng-zhu-tan  峰主叹
feng-zhu-zheng  峰主正
feng-zhua  凤爪
feng-zhuan 风传  疯传
feng-zhuang-luo  风撞落
feng-zi 封字 疯子  风姿
feng-zong-men  奉宗门
fo  佛
fo-bao  佛宝
fo-dang  佛挡
fo-dao  佛道
fo-fa  佛法
fo-guang  佛光
fo-hao  佛号
fo-jia  佛家
fo-jiao  佛脚
fo-jing  佛经
fo-jue  佛脚
fo-kao  佛靠
fo-li  佛力
fo-men  佛门
fo-men-di-zi  佛门弟子
fo-mo  佛魔
fo-mo-dao  佛魔道
fo-shou  佛手
fo-tang  佛堂
fo-tuo  佛陀
fo-xiang  佛像
fo-yan  佛焰
fo-ye  佛爷
fo-yin 佛印  佛隐
fo-ying  佛影
fo-zhang  佛掌
fo-zhou  佛咒
fo-zhu 佛主  佛珠
fo-zi  佛字
fo-zong  佛宗
fo-zong-ben  佛宗本
fo-zong-da  佛宗大
fo-zong-gao-ren  佛宗高人
fo-zong-jian  佛宗间
fo-zong-lian  佛宗炼
fo-zong-mie  佛宗灭
fo-zong-neng  佛宗能
fo-zong-shi  佛宗势
fo-zong-wei  佛宗为
fo-zong-you  佛宗有
fo-zu  佛祖
fou  否
fou-ding  否定
fou-hu  否乎
fou-jiu-fou  否就否
fou-jiu-pi  否就否
fou-jue  否决
fou-le  否了
fou-liao  否了
fou-luo  否落
fou-ren  否认
fou-shi  否是
fou-ze  否则
fu 符 缚 佛 夫 扶 拂 副 福 斧  负
fu-ai  父爱
fu-bai-hun  附百魂
fu-bao 福薄 佛宝  符宝
fu-bao-ci  符宝此
fu-bao-fang  符宝放
fu-bao-hao  符宝毫
fu-bao-jin 符宝仅  符宝金
fu-bao-kuai  符宝快
fu-bao-lai  符宝来
fu-bao-li  符宝里
fu-bao-qu  符宝取
fu-bao-shi  符宝时
fu-bao-shou  符宝手
fu-bao-xia  符宝下
fu-bei-shou-di  腹背受敌
fu-ben 副本  符笨
fu-bi  伏笔
fu-biao  傅彪
fu-bing 符并 伏兵  斧柄
fu-bo 福薄  符箔
fu-bu 符不  腹部
fu-bu-fu  服不服
fu-bu-qi  付不起
fu-bu-shang  扶不上
fu-ce  符策
fu-chang-fu-sui  夫唱妇随
fu-chao-zhi-xia  覆巢之下
fu-chen  拂尘
fu-cheng  浮城
fu-chi  扶持
fu-chong 俯冲  斧重
fu-chou 符筹  复仇
fu-chu 复出 拂出 浮出  付出
fu-chu-dai-jia  付出代价
fu-cong  服从
fu-cong-ming-ling  服从命令
fu-da  福大
fu-dai 符带  附带
fu-dai-tiao-jian  附带条件
fu-dan 服丹  负担
fu-dan-de-qi  负担得起
fu-dan-guo-chong  负担过重
fu-dan-guo-zhong  负担过重
fu-dang 符挡  佛挡
fu-dao 浮到 符道 佛道  符倒
fu-de 付得  富得
fu-de-liu-you  富得流油
fu-di 符地 府邸 符递 腹地  福地
fu-di-chou-xin  釜底抽薪
fu-di-dong-tian  福地洞天
fu-diao  浮雕
fu-dong 拂动  浮动
fu-dou  符都
fu-du 符都 服毒  幅度
fu-duo 符多  夫多
fu-e 拂额  抚额
fu-fa 佛法  复发
fu-fan  复返
fu-fei 福非 符非  腹诽
fu-fen  福分
fu-feng 符奉  副峰
fu-feng-zhu 福峰主  副峰主
fu-fu 夫复  夫妇
fu-fu-lia  夫妇俩
fu-fu-liang  夫妇俩
fu-fu-tie-tie  服服帖帖
fu-gai  覆盖
fu-gai-fan-wei  覆盖范围
fu-gai-zhu  覆盖住
fu-gao  腹稿
fu-ge  服个
fu-gei 符给  付给
fu-gou  符够
fu-gu 腐骨 附骨  跗骨
fu-gu-cao  腐骨草
fu-guang 斧光  佛光
fu-gui 符贵  富贵
fu-gui-men  符鬼门
fu-gui-men-cheng  符鬼门成
fu-gui-men-hui  符鬼门会
fu-gui-men-kuai  符鬼门会
fu-gui-zai-tian  富贵在天
fu-guo 服过 抚过  拂过
fu-hao 符毫 符号  佛号
fu-he 附和 复合 负荷  符合
fu-he-shi-shi  符合事实
fu-he-tiao-jian  符合条件
fu-he-yao-qiu  符合要求
fu-hei  腹黑
fu-hong  符红
fu-hong-xue  付红雪
fu-hong-xue-da  付红雪大
fu-hou 符后  服后
fu-hua 符花 孵化 浮华  浮滑
fu-huai  腐坏
fu-huan  符换
fu-hui 符会 符毁  附会
fu-huo 俘获 附和 福祸  复活
fu-ji 符给 符祭 付给 付集  伏击
fu-ji-yu  附寄于
fu-ji-zhi-li  缚鸡之力
fu-jia 府加 富家 佛家 付家 复加  附加
fu-jia-fei  付家费
fu-jia-hui  付家会
fu-jia-jin  付家近
fu-jia-kai  付家开
fu-jia-kuai  付家会
fu-jia-zi-di  富家子弟
fu-jian 福见  附件
fu-jiang  符将
fu-jiao  佛脚
fu-jin 符仅  附近
fu-jing 赴京  佛经
fu-jing-qing-zui  负荆请罪
fu-jiu  符就
fu-jiu-guan  复旧观
fu-jiu-hui  符就会
fu-jiu-kuai  符就会
fu-jue  佛脚
fu-jun  夫君
fu-kai  腹开
fu-kan  福看
fu-kao  佛靠
fu-ke-di-guo  富可敌国
fu-kong  浮空
fu-kua  浮夸
fu-kuai 符会  附会
fu-lai 父来  符来
fu-lan 腐烂  俯览
fu-lao-guai  付老怪
fu-lao-xie-you  扶老携幼
fu-li 福利 符离 腹里 符里  佛力
fu-li-tang-huang  富丽堂皇
fu-lian  妇联
fu-liang-dao  服两到
fu-liao  辅料
fu-lin  符林
fu-lin-xuan 负林轩  符林轩
fu-ling 符令  附灵
fu-liu  拂柳
fu-liu-ban  拂柳般
fu-lu 附录 符录  俘虏
fu-lue 福略  符略
fu-ma  驸马
fu-mai 符卖  符买
fu-mang  斧芒
fu-mei 芙妹  覆没
fu-men  佛门
fu-men-di-zi  佛门弟子
fu-mian 负面  拂面
fu-mian-ying-xiang  负面影响
fu-mie  覆灭
fu-ming  复命
fu-mo 佛魔  抚摸
fu-mo-dao  佛魔道
fu-mo-gong  伏魔功
fu-mo-zhen  伏魔阵
fu-mou  付某
fu-mu  父母
fu-mu-shuang-wang  父母双亡
fu-mu-xin  父母心
fu-mu-zhi-ming  父母之命
fu-na  符拿
fu-nei  腹内
fu-neng  符能
fu-nong  抚弄
fu-nv  父女
fu-nv-lia  父女俩
fu-nv-liang  父女俩
fu-ou  负偶
fu-pi  斧劈
fu-pin  符拼
fu-ping  浮萍
fu-qi 浮起 负气 负起 福气 扶起 服气  夫妻
fu-qi-en-ai  夫妻恩爱
fu-qi-jian  夫妻间
fu-qi-lai  扶起来
fu-qi-lao  服其劳
fu-qi-lia  夫妻俩
fu-qi-liang  夫妻俩
fu-qi-qing  夫妻情
fu-qi-shang  附其上
fu-qian 付倩 福浅  肤浅
fu-qiang  腹腔
fu-qin 抚琴  父亲
fu-qu 符取  拂去
fu-ran 浮燃  拂然
fu-ran-bu-yue  怫然不悦
fu-rang  符让
fu-rao  富饶
fu-ren 富人 斧刃 妇人  夫人
fu-ren-zhi-ren  妇人之仁
fu-rong  芙蓉
fu-ru  妇孺
fu-ru-bing  负如冰
fu-ru-you  服如有
fu-ruan  服软
fu-se 服色  肤色
fu-shang 付上 府上 富商 附上 抚上 符上 服上 浮上  负伤
fu-she 辐射  蝮蛇
fu-shen 符身 斧身 俯身  附身
fu-sheng 浮升  复生
fu-sheng-shang  符胜上
fu-shi 符师 付氏 符时 浮尸 俯视 腐尸 伏尸 斧势 符是 福是 腐蚀 服食 服侍  服饰
fu-shi-jie-shi  俯拾皆是
fu-shi-shu  负师叔
fu-shi-xing  腐蚀性
fu-shi-you  符十有
fu-shou 副手 佛手 俯首  负手
fu-shou-chen-chen  俯首称臣
fu-shou-cheng-chen  俯首称臣
fu-shou-fu-jiao  缚手缚脚
fu-shou-fu-jue  缚手缚脚
fu-shou-tie-er  俯首帖耳
fu-shou-ting-ming  俯首听命
fu-shu 富庶 符术 复述 附属  服输
fu-shui-nan-shou  覆水难收
fu-shuo  福说
fu-si  赴死
fu-si-di  抚四弟
fu-su  复苏
fu-suo-hua  符所化
fu-suo-tuo  负所托
fu-tai-duo  服太多
fu-tang  佛堂
fu-tang-dao-huo  赴汤蹈火
fu-ti 拂体  附体
fu-tian  服天
fu-tian-heng  付天衡
fu-tie  符贴
fu-tie-lei-zhu  浮铁雷珠
fu-tou 抚头  斧头
fu-tuo  佛陀
fu-wan  服完
fu-wang 符望 蝠王 夫望 父王  符往
fu-wei-ji-kun  扶危济困
fu-wen  符文
fu-wen-bi  符文比
fu-wen-da  符文大
fu-wen-da-de  符文大得
fu-wen-gu-dun  符文古盾
fu-wen-hua  符文划
fu-wen-jia  符文加
fu-wen-jian-ren  符文剑刃
fu-wen-jing  符文竟
fu-wen-kuang  符文狂
fu-wen-lai  符文来
fu-wen-liang  符文亮
fu-wen-piao-chu  符文飘出
fu-wen-piao-san-san  符文飘三散
fu-wen-qi 符文其  符文起
fu-wen-rao  符文绕
fu-wen-ru  符文如
fu-wen-shang  符文上
fu-wen-tai  符文太
fu-wen-wang 符文望  符文往
fu-wen-wei  符文围
fu-wen-xue  符文血
fu-wen-you  符文有
fu-wen-zhuang  符文撞
fu-wen-zi  符文自
fu-weng  富翁
fu-wu  服务
fu-wu-feng  符无风
fu-wu-shuang-zhi  福无双至
fu-xi  福兮
fu-xi-huo  福兮祸
fu-xi-huo-suo-fu  福兮祸所伏
fu-xia 伏下 俯下  服下
fu-xia-qu  服下去
fu-xian 符先 赴险  浮现
fu-xiang 符像 佛像  抚像
fu-xiang-jiao  符相较
fu-xiang-lian-pian  浮想联翩
fu-xiao 拂晓  斧削
fu-xie  腹泻
fu-xin 腐心 负心  腹心
fu-xin-ren  负心人
fu-xing 复兴 复姓  付姓
fu-xing-gao-zhao  福星高照
fu-xiong 福兄  付兄
fu-xiu 拂袖 辅修  腐朽
fu-xiu-er-qu  拂袖而去
fu-xu 夫婿  抚须
fu-xue  斧削
fu-xue-cao  腐血草
fu-yan 佛焰  敷衍
fu-yan-le-shi  敷衍了事
fu-yan-liao-shi  敷衍了事
fu-yang 抚养  阜阳
fu-yao 符要 辅药  服药
fu-yao-shu  附妖鼠
fu-yao-zhe  服药者
fu-yao-zhi-shang  扶摇直上
fu-yao-zhou  付遥舟
fu-ye  佛爷
fu-ye-qu  符也取
fu-yi 附以 蝮蛇 蝠翼 符已  辅以
fu-yi-he  符一合
fu-yi-shan  符一闪
fu-yin 福荫 佛印 佛隐 福音 负阴  复印
fu-ying 佛影  斧影
fu-yong 符用 附庸  服用
fu-yong-feng-ya  附庸风雅
fu-yong-liang  服用量
fu-yong-xiang  福永享
fu-yong-zhe  服用者
fu-you 赋有 符由 附有 负有 符有  富有
fu-you-hai  符由海
fu-you-zhe  富有者
fu-yu 付与 附于 付予 腹语 富裕 赋予 符与  浮于
fu-yu-fan-yun  覆雨翻云
fu-yu-lian  符与敛
fu-yu-wan-kang  负隅顽抗
fu-yuan 符远 赴援 幅员 复原  福缘
fu-yuan-liao-kuo  幅员辽阔
fu-yue 斧钺  赴约
fu-yun  浮云
fu-za  复杂
fu-za-cheng-du  复杂程度
fu-zai  附在
fu-zao 浮躁  斧凿
fu-ze 福泽  负责
fu-ze-guan-li  负责管理
fu-ze-ren  负责人
fu-zhang 佛掌 付账  抚掌
fu-zhang-da-xiao  抚掌大笑
fu-zhao 附着  扶着
fu-zhe 覆辙 附着  扶着
fu-zhen  符阵
fu-zhi 符纸  复制
fu-zhi-can  腹之餐
fu-zhi-ce  付之策
fu-zhi-chou  父之仇
fu-zhi-dao 复制到  符之道
fu-zhi-liu-shui  付之流水
fu-zhi-shi  符之事
fu-zhi-shu  符之术
fu-zhi-wu  腹之物
fu-zhi-xin-ling  福至心灵
fu-zhi-yi-ju  付之一炬
fu-zhong 符终 浮肿 斧重 符中 服众  腹中
fu-zhou 佛咒  符咒
fu-zhu 佛主 扶住 付诸 佛珠 抚住 符筑 缚住 伏诛 扶助  辅助
fu-zhu-cai-liao  辅助材料
fu-zhu-dong-liu  付诸东流
fu-zhu-hang-dong  付诸行动
fu-zhu-liu-shui  付诸流水
fu-zhu-shi-jian  付诸实践
fu-zhu-shi-shi  付诸实施
fu-zhu-xing  辅助性
fu-zhu-xing-dong  付诸行动
fu-zhuan  符篆
fu-zhuang  服装
fu-zhuo 附着  扶着
fu-zi 父自 佛字 符自  父子
fu-zi-lia  父子俩
fu-zi-liang  父子俩
fu-zong  佛宗
fu-zong-ben  佛宗本
fu-zong-da  佛宗大
fu-zong-gao-ren  佛宗高人
fu-zong-jian  佛宗间
fu-zong-lian  佛宗炼
fu-zong-mie  佛宗灭
fu-zong-neng  佛宗能
fu-zong-shi  佛宗势
fu-zong-wei  佛宗为
fu-zong-you  佛宗有
fu-zu 佛祖  富足
fu-zuan  符纂
fu-zui  抚嘴
fu-zuo 斧凿  辅佐
fu-zuo-yong  副作用
ga  嘎
ga-ga  嘎嘎
ga-ran  嘎然
gai 改 盖  该
gai-ban  改版
gai-bao  该宝
gai-bian 改编  改变
gai-bian-fang-xiang  改变方向
gai-bu 概不  该部
gai-bu-gai  该不该
gai-bu-le  改不了
gai-bu-liao  改不了
gai-cao  该草
gai-chao  该朝
gai-chen  改称
gai-cheng 改称 改成  该城
gai-chu  该处
gai-cun  该存
gai-dan  该丹
gai-dang  该当
gai-dang-he-zui  该当何罪
gai-dao 改道  该岛
gai-di 盖地  该地
gai-dian  该店
gai-diao  改掉
gai-ding  盖顶
gai-dong  改动
gai-dun  该盾
gai-er  改而
gai-er-xiang  改而像
gai-fang 该坊  该放
gai-feng  该峰
gai-fu 该府  该符
gai-ge  改个
gai-gong  该宫
gai-gu  该谷
gai-gu-jin  该谷近
gai-guan  改观
gai-gui-di  该鬼帝
gai-guo 改过 盖过  该国
gai-guo-lai  改过来
gai-hang 改行  该行
gai-he  该何
gai-huan 该换  改换
gai-huan-men-ting  改换门庭
gai-hui  该会
gai-jia  该家
gai-jian  改建
gai-jiang  改将
gai-jie  该界
gai-jin  改进
gai-kou  改口
gai-kuai  该会
gai-kuang  概况
gai-kuo  概括
gai-lai  该来
gai-le  改了
gai-lei-peng  该雷鹏
gai-lian 该练 改炼 该炼 改练  改恋
gai-liang  改良
gai-liang-ban  改良版
gai-liao  改了
gai-ling-fu  该令符
gai-ling-wu  该灵物
gai-lu  该路
gai-lun  该轮
gai-lv  概率
gai-mai  该脉
gai-mao  概貌
gai-men  该门
gai-ming 改命  改名
gai-nian  概念
gai-qi  该起
gai-ri  改日
gai-shan 该山  改善
gai-shang 盖上  改上
gai-sheng  该生
gai-shi 该室 该是  盖世
gai-shou  该兽
gai-shou-yuan  该寿元
gai-shu 该术 该树  该书
gai-shuai  概率
gai-si  该死
gai-suan-lin-xuan  该算林轩
gai-tian  改天
gai-tian-zai-lai  改天再来
gai-tou 改投  盖头
gai-tou-huan-mian  改头换面
gai-wang  该往
gai-wei  改为
gai-wu  该物
gai-xi  改习
gai-xie  改写
gai-xing 改行 该行  改型
gai-xiu  改修
gai-xuan  该选
gai-xue  改学
gai-yan  盖严
gai-yao 该要  概要
gai-yi-gai  改一改
gai-yong 改用  该用
gai-you  改有
gai-yu-he  该玉盒
gai-yu-tong  该玉瞳
gai-zao  改造
gai-zhan  该站
gai-zhao  该朝
gai-zhen  该阵
gai-zheng  该争
gai-zhong  该种
gai-zhou  该州
gai-zhu  盖住
gai-zhua  改抓
gai-zi  盖子
gai-zong  该宗
gai-zong-du  该宗毒
gai-zong-hui  该宗会
gai-zong-kuai  该宗会
gai-zong-men  该宗门
gai-zong-nei  该宗内
gai-zong-shang  该宗上
gai-zong-si  该宗四
gai-zu  该族
gai-zu-chu  该族出
gan 感 赶  敢
gan-ai-gan-hen  敢爱敢恨
gan-ba-ba  干巴巴
gan-ba-huang-di-la-xia-ma  敢把皇帝拉下马
gan-bai-xia-feng  甘拜下风
gan-bao  敢保
gan-bei  敢背
gan-bie  干瘪
gan-bing  敢兵
gan-bu  甘不
gan-bu-dao  赶不到
gan-bu-gan  敢不敢
gan-bu-shang  赶不上
gan-bu-xin  感不信
gan-cai  干才
gan-chao  赶超
gan-che  赶车
gan-cheng  杆秤
gan-chu 干出 赶出  感触
gan-chu-lai  赶出来
gan-chu-liang-duo  感触良多
gan-chu-qu 敢出去  赶出去
gan-chun  甘醇
gan-ci  干此
gan-cui  干脆
gan-cui-li-luo  干脆利落
gan-cui-li-suo  干脆利索
gan-dan-xiang-zhao  肝胆相照
gan-dang  敢当
gan-dao 赶到  感到
gan-dao-gao-xing  感到高兴
gan-dao-kong-ju  感到恐惧
gan-dao-tong-ku  感到痛苦
gan-dao-yi-han  感到遗憾
gan-de  干得
gan-de-shang  赶得上
gan-de-shi  干的事
gan-deng-yan  干瞪眼
gan-deng-zhao  干瞪着
gan-deng-zhe  干瞪着
gan-deng-zhuo  干瞪着
gan-di 干地  甘地
gan-diao  干掉
gan-dong 敢动  感动
gan-dong-bu-yi  感动不已
gan-dou  橄抖
gan-en  感恩
gan-en-dai-de  感恩戴德
gan-en-tu-bao  感恩图报
gan-fang  敢坊
gan-fei-cha  杆飞叉
gan-fu  赶赴
gan-ga  尴尬
gan-ga-shi  尴尬事
gan-gai  感概
gan-gan-jing-jing  干干净净
gan-ge 赶个  干戈
gan-guan 感观 敢管  感官
gan-guo  干过
gan-guo-lai  赶过来
gan-guo-qu 敢过去  赶过去
gan-hai 赶海  干咳
gan-hang  敢行
gan-hao  干耗
gan-he 干涸  敢喝
gan-hui  赶回
gan-hui-dao  赶回到
gan-hui-lai  赶回来
gan-hui-qu  赶回去
gan-huo  干活
gan-ji 赶集  感激
gan-ji-bu-jin  感激不尽
gan-ji-ti-ling  感激涕零
gan-ji-wan-fen  感激万分
gan-jiao  感觉
gan-jiao-bu-hao  感觉不好
gan-jiao-de-dao  感觉得到
gan-jiao-liang-hao  感觉良好
gan-jin 赶进 干劲  赶紧
gan-jin-sha-jue  赶尽杀绝
gan-jin-shi-zu  干劲十足
gan-jing  干净
gan-jing-li-luo  干净利落
gan-jing-li-suo  干净利索
gan-jue  感觉
gan-jue-bu-hao  感觉不好
gan-jue-de-dao  感觉得到
gan-jue-liang-hao  感觉良好
gan-kai  感慨
gan-kai-bu-yi  感慨不已
gan-kai-wan-qian  感慨万千
gan-kao  赶考
gan-ke  干咳
gan-ken-ding  敢肯定
gan-ku 甘苦  干枯
gan-kuai  赶快
gan-lai 干来  赶来
gan-lan  橄榄
gan-lan-zhi  橄榄枝
gan-li  赶离
gan-lian  干练
gan-liang  干粮
gan-lie  干裂
gan-liu  敢留
gan-long  赣龙
gan-lu 甘露  赶路
gan-ma 干吗 敢骂  干嘛
gan-man  赶慢
gan-mao 甘冒  感冒
gan-mi  橄眯
gan-mo  杆墨
gan-nao-tu-di  肝脑涂地
gan-nian  感念
gan-nu-bu-gan-yan  敢怒不敢言
gan-pao  赶跑
gan-pei  感佩
gan-qi 赶起 橄启  赶其
gan-qing 敢情  感情
gan-qing-feng-fu  感情丰富
gan-qing-jiu-ge  感情纠葛
gan-qing-yong-shi  感情用事
gan-qu 敢取  赶去
gan-ran  感染
gan-rao  干扰
gan-ren  赶人
gan-rou 干肉  感肉
gan-ru  赶入
gan-se  干涩
gan-sha  赶杀
gan-shang  赶上
gan-shang-lai 赶上来  敢上来
gan-shang-qu  敢上去
gan-she  干涉
gan-shen  干什
gan-shen-me  干什么
gan-shi 尴是 干尸  敢视
gan-shi-jian  赶时间
gan-shou 敢收 干瘦  感受
gan-shou-yi-xia  感受一下
gan-tan  感叹
gan-tian 干天  甘甜
gan-tong-shen-shou  感同身受
gan-tuo-da-dao  敢托大到
gan-wang  赶往
gan-wei 干为  甘为
gan-wu  感悟
gan-wu-ben  干无本
gan-wu-dao  感悟到
gan-xi  干系
gan-xia  赶下
gan-xian  敢现
gan-xiang  感想
gan-xiao  干笑
gan-xie  感谢
gan-xie-nin  感谢您
gan-xin  甘心
gan-xing 敢行  感性
gan-xing-qu  感兴趣
gan-xiu 甘休  干休
gan-ya-zi-shang-jia  赶鸭子上架
gan-yan  敢言
gan-ying  感应
gan-ying-li  感应力
gan-yong  敢用
gan-yu 敢于  干预
gan-yuan 干元  甘愿
gan-yue  赶月
gan-yun  干云
gan-yun-zhi-se  干云之色
gan-zai  赶在
gan-zao  干燥
gan-zhan  干站
gan-zhao 敢找 感召  赶着
gan-zhao-ji  干着急
gan-zhe  赶着
gan-zhe-ji  干着急
gan-zhen-qi  杆阵旗
gan-zhi  感知
gan-zhi-ru-yi  甘之如饴
gan-zhuo  赶着
gan-zhuo-ji  干着急
gan-zi  竿子
gan-zou 敢揍  赶走
gan-zuo-gan-wei  敢作敢为
gang 刚  扛
gang-bai-ru  刚拜入
gang-bi-zi-yong  刚愎自用
gang-bian  钢鞭
gang-bu-zhu  扛不住
gang-cai  刚才
gang-cha  钢叉
gang-cheng-li  刚成立
gang-chu 扛出  刚出
gang-chu-sheng  刚出生
gang-ci  钢刺
gang-dao 钢刀  刚到
gang-de-zhu  扛得住
gang-dong  刚动
gang-fei  刚飞
gang-fei-dao  刚飞到
gang-feng  罡风
gang-gang  刚刚
gang-gang-kai-shi  刚刚开始
gang-gou  刚够
gang-guo 刚过  扛过
gang-guo-qu  扛过去
gang-hao  刚好
gang-he  刚合
gang-hui  刚回
gang-hui-dao  刚回到
gang-hui-lai  刚回来
gang-jiang  刚强
gang-jie  刚结
gang-jin  刚进
gang-jin-shan  刚进山
gang-kan  刚看
gang-kou  港口
gang-lai  刚来
gang-lai-ming  刚来明
gang-lai-shi  刚来时
gang-lie  刚烈
gang-luo  刚落
gang-man  刚满
gang-meng  刚猛
gang-qian  钢钳
gang-ren  刚韧
gang-rou-bing-ji  刚柔并济
gang-ru  刚入
gang-shao  岗哨
gang-si 刚死  钢丝
gang-song  刚松
gang-tie  钢铁
gang-wan  港湾
gang-wang  刚网
gang-xia  扛下
gang-xia-lai  扛下来
gang-xiang  刚想
gang-xing  刚性
gang-ya  钢牙
gang-yao 钢要  刚要
gang-yi 刚一  刚毅
gang-yi-chu  刚一触
gang-yi-li-kou  刚一离口
gang-yi-li-ti  刚一离体
gang-yi-rou  刚一柔
gang-yi-ru  刚一入
gang-yi-sao  刚一扫
gang-yi-shuo  刚一说
gang-yi-zhang  刚一掌
gang-ying  刚硬
gang-yong  钢用
gang-zhao  扛着
gang-zhe  扛着
gang-zheng  刚正
gang-zhuan  刚转
gang-zhuo  扛着
gao 搞  高
gao-ai  高矮
gao-ai-bu-yi  高矮不一
